family,regime,model,mode,domain,split,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,simhash,random,16,0.5,0.20833333333333331,-0.2916666666666667,-0.5625,0.0,6,1,0.12459377031148443,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,simhash,random,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,simhash,random,9,0.2592592592592593,0.29629629629629634,0.037037037037037035,0.0,0.1111111111111111,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,simhash,random,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,simhash,random,24,0.8194444444444443,0.5138888888888888,-0.3055555555555556,-0.47222222222222215,-0.15277777777777776,12,1,0.0014999250037498126,Paired sign-flip on per-problem seed-mean solved outcomes,0.15299235038248088,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,simhash,random,37,0.954954954954955,0.7837837837837837,-0.1711711711711712,-0.2972972972972973,-0.04504504504504505,10,1,0.018199090045497725,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,simhash,random,219,0.3302891933028919,0.0487062404870624,-0.2815829528158295,-0.3378995433789954,-0.2252663622526636,80,5,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,shortest_path,graphbpe,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,shortest_path,graphbpe,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,3,0.2456877156142193,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,shortest_path,graphbpe,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,shortest_path,graphbpe,2,0.0,1.0,1.0,1.0,1.0,0,2,0.504174791260437,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,shortest_path,graphbpe,3,0.7777777777777778,1.0,0.22222222222222224,0.0,0.6666666666666666,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,shortest_path,graphbpe,16,0.0,1.0,1.0,1.0,1.0,0,16,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,shortest_path,graphbpe,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,shortest_path,graphbpe,9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
