Regime,Seed,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Val Solved,Val Exec,Val Avg Plan Len,Val Num Problems,Interp Solved,Interp Exec,Interp Avg Plan Len,Interp Num Problems,Extrap Solved,Extrap Exec,Extrap Avg Plan Len,Extrap Num Problems
domain_dependent,23,visitall-from-everywhere,shortest_path,lstm,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.14,37,100.00%,100.00%,61.68,219
domain_dependent,23,blocks,shortest_path,lstm,delta,30,domain_specific,0.00%,100.00%,16.00,3,0.00%,100.00%,11.33,3,0.00%,100.00%,63.30,20
domain_dependent,23,gripper,shortest_path,lstm,delta,28,domain_specific,100.00%,100.00%,34.00,2,100.00%,100.00%,17.00,3,6.25%,100.00%,153.50,16
domain_dependent,23,logistics,shortest_path,lstm,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,119.33,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,lstm,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.70,37,100.00%,100.00%,61.42,219
domain_dependent,23,blocks,shortest_path,xgboost,state,30,domain_specific,0.00%,100.00%,13.33,3,0.00%,100.00%,14.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,shortest_path,xgboost,state,28,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,shortest_path,xgboost,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.00,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,xgboost,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.19,37,94.98%,100.00%,71.63,219
domain_dependent,23,blocks,shortest_path,xgboost,delta,30,domain_specific,0.00%,100.00%,45.33,3,0.00%,100.00%,26.00,3,0.00%,100.00%,64.20,20
domain_dependent,23,gripper,shortest_path,xgboost,delta,28,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,92.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,shortest_path,xgboost,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,132.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,shortest_path,xgboost,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.51,37,100.00%,100.00%,61.25,219
domain_dependent,23,blocks,graphbpe,lstm,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,77.33,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,graphbpe,lstm,state,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,23,logistics,graphbpe,lstm,state,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,lstm,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,lstm,delta,84,domain_specific,0.00%,100.00%,100.00,3,33.33%,100.00%,44.67,3,0.00%,100.00%,112.20,20
domain_dependent,23,gripper,graphbpe,lstm,delta,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,23,logistics,graphbpe,lstm,delta,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,lstm,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,xgboost,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,98.00,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,graphbpe,xgboost,state,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,23,logistics,graphbpe,xgboost,state,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,xgboost,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,graphbpe,xgboost,delta,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,78.67,3,0.00%,100.00%,124.40,20
domain_dependent,23,gripper,graphbpe,xgboost,delta,58,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,23,logistics,graphbpe,xgboost,delta,102,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,117.11,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,graphbpe,xgboost,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,23,blocks,random,lstm,state,128,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,29.33,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,random,lstm,state,128,domain_specific,100.00%,100.00%,35.00,2,100.00%,100.00%,17.00,3,18.75%,100.00%,283.94,16
domain_dependent,23,logistics,random,lstm,state,128,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,108.22,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,random,lstm,state,128,domain_specific,54.17%,100.00%,114.25,24,72.97%,100.00%,25.81,37,5.48%,100.00%,379.22,219
domain_dependent,23,blocks,random,lstm,delta,128,domain_specific,0.00%,100.00%,59.33,3,0.00%,100.00%,26.67,3,0.00%,100.00%,85.60,20
domain_dependent,23,gripper,random,lstm,delta,128,domain_specific,100.00%,100.00%,28.00,2,66.67%,100.00%,25.67,3,68.75%,100.00%,55.38,16
domain_dependent,23,logistics,random,lstm,delta,128,domain_specific,0.00%,100.00%,150.00,4,0.00%,100.00%,136.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,random,lstm,delta,128,domain_specific,45.83%,100.00%,106.04,24,72.97%,100.00%,24.38,37,76.71%,100.00%,211.00,219
domain_dependent,23,blocks,random,xgboost,state,128,domain_specific,0.00%,100.00%,27.33,3,0.00%,100.00%,20.67,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,random,xgboost,state,128,domain_specific,100.00%,100.00%,37.00,2,100.00%,100.00%,19.00,3,100.00%,100.00%,107.00,16
domain_dependent,23,logistics,random,xgboost,state,128,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,125.67,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,random,xgboost,state,128,domain_specific,33.33%,100.00%,114.33,24,70.27%,100.00%,23.46,37,0.91%,100.00%,389.70,219
domain_dependent,23,blocks,random,xgboost,delta,128,domain_specific,0.00%,100.00%,99.33,3,0.00%,100.00%,21.33,3,0.00%,100.00%,125.00,20
domain_dependent,23,gripper,random,xgboost,delta,128,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,23,logistics,random,xgboost,delta,128,domain_specific,0.00%,100.00%,150.00,4,0.00%,100.00%,135.56,9,0.00%,100.00%,293.33,18
domain_dependent,23,visitall-from-everywhere,random,xgboost,delta,128,domain_specific,100.00%,100.00%,23.12,24,100.00%,100.00%,10.00,37,100.00%,100.00%,69.69,219
domain_dependent,37,blocks,wl,lstm,state,172,domain_specific,33.33%,100.00%,74.00,3,100.00%,100.00%,34.00,3,5.00%,100.00%,122.60,20
domain_dependent,37,gripper,wl,lstm,state,302,domain_specific,100.00%,100.00%,30.00,2,100.00%,100.00%,16.33,3,100.00%,100.00%,108.25,16
