Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
domain_dependent,blocks,graphbpe,lstm,delta,84,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,11.11%,15.71%,100.00%,0.00%,64.67,24.61,0.00%,0.00%,100.00%,0.00%,118.33,5.24
domain_dependent,gripper,graphbpe,lstm,delta,58,domain_specific,3,100.00%,0.00%,100.00%,0.00%,39.00,0.00,100.00%,0.00%,100.00%,0.00%,21.00,0.00,100.00%,0.00%,100.00%,0.00%,109.00,0.00
domain_dependent,logistics,graphbpe,lstm,delta,102,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,124.67,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,graphbpe,lstm,delta,104,domain_specific,3,54.17%,0.00%,100.00%,0.00%,101.58,0.00,75.68%,0.00%,100.00%,0.00%,21.00,0.00,9.59%,0.00%,100.00%,0.00%,460.56,0.00
domain_dependent,blocks,graphbpe,xgboost,state,84,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,99.33,0.94,0.00%,0.00%,100.00%,0.00%,125.00,0.00
domain_dependent,gripper,graphbpe,xgboost,state,58,domain_specific,3,100.00%,0.00%,100.00%,0.00%,37.00,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,100.00%,0.00%,100.00%,0.00%,107.00,0.00
domain_dependent,logistics,graphbpe,xgboost,state,102,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,117.11,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,graphbpe,xgboost,state,104,domain_specific,3,54.17%,0.00%,100.00%,0.00%,101.58,0.00,75.68%,0.00%,100.00%,0.00%,21.00,0.00,9.59%,0.00%,100.00%,0.00%,460.56,0.00
domain_dependent,blocks,graphbpe,xgboost,delta,84,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,69.78,7.35,0.00%,0.00%,100.00%,0.00%,123.40,1.85
domain_dependent,gripper,graphbpe,xgboost,delta,58,domain_specific,3,100.00%,0.00%,100.00%,0.00%,37.00,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,100.00%,0.00%,100.00%,0.00%,107.00,0.00
domain_dependent,logistics,graphbpe,xgboost,delta,102,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,117.11,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,graphbpe,xgboost,delta,104,domain_specific,3,54.17%,0.00%,100.00%,0.00%,101.58,0.00,75.68%,0.00%,100.00%,0.00%,21.00,0.00,9.59%,0.00%,100.00%,0.00%,460.56,0.00
