family,tokenizer,model,mode,domain,split,regime_a,regime_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
regime::wl::xgboost::delta,wl,xgboost,delta,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,visitall-from-everywhere,validation,domain_dependent,all_domains,24,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::simhash::lstm::state,simhash,lstm,state,blocks,validation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,blocks,test-interpolation,domain_dependent,all_domains,3,0.1111111111111111,0.0,-0.1111111111111111,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,blocks,test-extrapolation,domain_dependent,all_domains,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,gripper,validation,domain_dependent,all_domains,2,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,gripper,test-interpolation,domain_dependent,all_domains,3,1.0,0.5555555555555555,-0.4444444444444445,-1.0,0.0,2,0,0.4982250887455627,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,gripper,test-extrapolation,domain_dependent,all_domains,16,0.5,0.7916666666666666,0.29166666666666663,-0.041666666666666685,0.625,3,7,0.12834358282085895,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,logistics,test-interpolation,domain_dependent,all_domains,9,0.2592592592592593,0.14814814814814814,-0.1111111111111111,-0.2222222222222222,0.0,3,0,0.24838758062096894,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,visitall-from-everywhere,validation,domain_dependent,all_domains,24,0.8194444444444443,0.8333333333333334,0.013888888888888895,-0.15277777777777776,0.18055555555555558,4,6,0.8403079846007699,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,0.954954954954955,0.972972972972973,0.01801801801801802,-0.06306306306306306,0.09909909909909911,1,2,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::state
regime::simhash::lstm::state,simhash,lstm,state,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.3302891933028919,0.3866057838660579,0.0563165905631659,0.009132420091324193,0.1050228310502283,28,53,0.023148842557872105,Paired sign-flip on per-problem seed-mean solved outcomes,0.27778611069446524,False,regime::simhash::lstm::state
regime::simhash::lstm::delta,simhash,lstm,delta,blocks,validation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,blocks,test-interpolation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,blocks,test-extrapolation,domain_dependent,all_domains,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,gripper,validation,domain_dependent,all_domains,2,0.0,0.5,0.5,0.0,1.0,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,gripper,test-interpolation,domain_dependent,all_domains,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,gripper,test-extrapolation,domain_dependent,all_domains,16,0.8125,0.25,-0.5625,-0.8125,-0.25,10,1,0.012899355032248387,Paired sign-flip on per-problem seed-mean solved outcomes,0.14189290535473226,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,logistics,test-interpolation,domain_dependent,all_domains,9,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.1111111111111111,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,visitall-from-everywhere,validation,domain_dependent,all_domains,24,0.47222222222222215,0.40277777777777773,-0.06944444444444443,-0.18055555555555555,0.02777777777777778,4,2,0.3152342382880856,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,0.8198198198198198,0.7027027027027027,-0.11711711711711713,-0.22522522522522523,-0.027027027027027025,6,1,0.06389680515974201,Paired sign-flip on per-problem seed-mean solved outcomes,0.6389680515974201,False,regime::simhash::lstm::delta
regime::simhash::lstm::delta,simhash,lstm,delta,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.1095890410958904,0.0700152207001522,-0.0395738203957382,-0.0684931506849315,-0.0106544901065449,26,8,0.009449527523623819,Paired sign-flip on per-problem seed-mean solved outcomes,0.11339433028348583,False,regime::simhash::lstm::delta
regime::simhash::xgboost::state,simhash,xgboost,state,blocks,validation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,blocks,test-interpolation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,blocks,test-extrapolation,domain_dependent,all_domains,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,gripper,validation,domain_dependent,all_domains,2,0.0,0.5,0.5,0.0,1.0,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,gripper,test-interpolation,domain_dependent,all_domains,3,1.0,0.6666666666666666,-0.3333333333333333,-1.0,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,gripper,test-extrapolation,domain_dependent,all_domains,16,0.4375,0.1875,-0.25,-0.625,0.125,7,3,0.33788310584470777,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
