family,regime,model,mode,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::all_domains::lstm::state,all_domains,lstm,state,graphbpe,random,358,0.24115456238361266,0.14711359404096833,-0.09404096834264432,-0.13130819366852886,-0.05679702048417133,54,27,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,wl,simhash,358,0.8044692737430168,0.1610800744878957,-0.643389199255121,-0.6890130353817504,-0.5949720670391061,264,6,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,wl,shortest_path,358,0.8044692737430168,0.7905027932960894,-0.013966480446927367,-0.030726256983240222,0.0027932960893854767,33,24,0.1288935553222339,Paired sign-flip on per-problem seed-mean solved outcomes,0.2577871106444678,False,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,wl,graphbpe,358,0.8044692737430168,0.23277467411545621,-0.5716945996275604,-0.6256983240223464,-0.5158286778398511,228,21,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,wl,random,358,0.8044692737430168,0.23370577281191804,-0.5707635009310988,-0.6145251396648045,-0.5260707635009311,255,8,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,simhash,shortest_path,358,0.1610800744878957,0.7905027932960894,0.6294227188081937,0.5782122905027933,0.6778398510242086,6,245,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,simhash,graphbpe,358,0.1610800744878957,0.23277467411545621,0.07169459962756053,0.038175046554934824,0.10707635009310985,19,46,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,simhash,random,358,0.1610800744878957,0.23370577281191804,0.07262569832402235,0.04655493482309124,0.09776536312849161,24,97,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,shortest_path,graphbpe,358,0.7905027932960894,0.23277467411545621,-0.5577281191806331,-0.6154562383612663,-0.4972067039106145,220,23,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,shortest_path,random,358,0.7905027932960894,0.23370577281191804,-0.5567970204841713,-0.6042830540037244,-0.5083798882681564,241,15,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::delta
