regime,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,num_seeds,num_problems,solved_rate_mean,solved_rate_std,exec_rate_mean,exec_rate_std,avg_plan_len_mean,avg_plan_len_std
domain_dependent,shortest_path,xgboost,state,blocks,test-interpolation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,14.0,0.0
domain_dependent,shortest_path,xgboost,state,blocks,test-extrapolation,30,domain_specific,3,20,0.0,0.0,1.0,0.0,125.0,0.0
domain_dependent,shortest_path,xgboost,state,gripper,validation,28,domain_specific,3,2,0.5,0.0,1.0,0.0,87.5,0.0
domain_dependent,shortest_path,xgboost,state,gripper,test-interpolation,28,domain_specific,3,3,1.0,0.0,1.0,0.0,19.0,0.0
domain_dependent,shortest_path,xgboost,state,gripper,test-extrapolation,28,domain_specific,3,16,0.0,0.0,1.0,0.0,310.0,0.0
domain_dependent,shortest_path,xgboost,state,logistics,validation,32,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,shortest_path,xgboost,state,logistics,test-interpolation,32,domain_specific,3,9,0.2222222222222222,0.0,1.0,0.0,112.0,0.0
domain_dependent,shortest_path,xgboost,state,logistics,test-extrapolation,32,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,shortest_path,xgboost,state,visitall-from-everywhere,validation,27,domain_specific,3,24,1.0,0.0,1.0,0.0,19.291666666666668,0.0
domain_dependent,shortest_path,xgboost,state,visitall-from-everywhere,test-interpolation,27,domain_specific,3,37,1.0,0.0,1.0,0.0,9.18918918918919,0.0
domain_dependent,shortest_path,xgboost,state,visitall-from-everywhere,test-extrapolation,27,domain_specific,3,219,0.9497716894977168,0.0,1.0,0.0,71.63013698630137,0.0
domain_dependent,shortest_path,xgboost,delta,blocks,validation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,45.333333333333336,0.0
domain_dependent,shortest_path,xgboost,delta,blocks,test-interpolation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,26.0,0.0
domain_dependent,shortest_path,xgboost,delta,blocks,test-extrapolation,30,domain_specific,3,20,0.0,0.0,1.0,0.0,64.2,0.0
domain_dependent,shortest_path,xgboost,delta,gripper,validation,28,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,shortest_path,xgboost,delta,gripper,test-interpolation,28,domain_specific,3,3,0.0,0.0,1.0,0.0,92.0,0.0
domain_dependent,shortest_path,xgboost,delta,gripper,test-extrapolation,28,domain_specific,3,16,0.0,0.0,1.0,0.0,310.0,0.0
domain_dependent,shortest_path,xgboost,delta,logistics,validation,32,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,shortest_path,xgboost,delta,logistics,test-interpolation,32,domain_specific,3,9,0.1111111111111111,0.0,1.0,0.0,132.11111111111111,0.0
domain_dependent,shortest_path,xgboost,delta,logistics,test-extrapolation,32,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,shortest_path,xgboost,delta,visitall-from-everywhere,validation,27,domain_specific,3,24,1.0,0.0,1.0,0.0,18.833333333333332,0.0
domain_dependent,shortest_path,xgboost,delta,visitall-from-everywhere,test-interpolation,27,domain_specific,3,37,1.0,0.0,1.0,0.0,8.513513513513514,0.0
domain_dependent,shortest_path,xgboost,delta,visitall-from-everywhere,test-extrapolation,27,domain_specific,3,219,1.0,0.0,1.0,0.0,61.25114155251141,0.0
domain_dependent,graphbpe,lstm,state,blocks,validation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,graphbpe,lstm,state,blocks,test-interpolation,84,domain_specific,3,3,0.3333333333333333,0.2721655269759087,1.0,0.0,69.77777777777777,5.45237517617124
domain_dependent,graphbpe,lstm,state,blocks,test-extrapolation,84,domain_specific,3,20,0.0,0.0,1.0,0.0,125.0,0.0
domain_dependent,graphbpe,lstm,state,gripper,validation,58,domain_specific,3,2,1.0,0.0,1.0,0.0,39.0,0.0
domain_dependent,graphbpe,lstm,state,gripper,test-interpolation,58,domain_specific,3,3,1.0,0.0,1.0,0.0,21.0,0.0
domain_dependent,graphbpe,lstm,state,gripper,test-extrapolation,58,domain_specific,3,16,1.0,0.0,1.0,0.0,109.0,0.0
domain_dependent,graphbpe,lstm,state,logistics,validation,102,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,graphbpe,lstm,state,logistics,test-interpolation,102,domain_specific,3,9,0.1111111111111111,0.0,1.0,0.0,124.66666666666667,0.0
domain_dependent,graphbpe,lstm,state,logistics,test-extrapolation,102,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,graphbpe,lstm,state,visitall-from-everywhere,validation,104,domain_specific,3,24,0.5416666666666666,0.0,1.0,0.0,101.58333333333333,0.0
domain_dependent,graphbpe,lstm,state,visitall-from-everywhere,test-interpolation,104,domain_specific,3,37,0.7567567567567568,0.0,1.0,0.0,21.0,0.0
domain_dependent,graphbpe,lstm,state,visitall-from-everywhere,test-extrapolation,104,domain_specific,3,219,0.0958904109589041,0.0,1.0,0.0,460.56164383561645,0.0
domain_dependent,graphbpe,lstm,delta,blocks,validation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,graphbpe,lstm,delta,blocks,test-interpolation,84,domain_specific,3,3,0.1111111111111111,0.15713484026367722,1.0,0.0,64.66666666666666,24.60954346650156
domain_dependent,graphbpe,lstm,delta,blocks,test-extrapolation,84,domain_specific,3,20,0.0,0.0,1.0,0.0,118.33333333333333,5.239168721170266
domain_dependent,graphbpe,lstm,delta,gripper,validation,58,domain_specific,3,2,1.0,0.0,1.0,0.0,39.0,0.0
domain_dependent,graphbpe,lstm,delta,gripper,test-interpolation,58,domain_specific,3,3,1.0,0.0,1.0,0.0,21.0,0.0
domain_dependent,graphbpe,lstm,delta,gripper,test-extrapolation,58,domain_specific,3,16,1.0,0.0,1.0,0.0,109.0,0.0
domain_dependent,graphbpe,lstm,delta,logistics,validation,102,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,graphbpe,lstm,delta,logistics,test-interpolation,102,domain_specific,3,9,0.1111111111111111,0.0,1.0,0.0,124.66666666666667,0.0
domain_dependent,graphbpe,lstm,delta,logistics,test-extrapolation,102,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,graphbpe,lstm,delta,visitall-from-everywhere,validation,104,domain_specific,3,24,0.5416666666666666,0.0,1.0,0.0,101.58333333333333,0.0
domain_dependent,graphbpe,lstm,delta,visitall-from-everywhere,test-interpolation,104,domain_specific,3,37,0.7567567567567568,0.0,1.0,0.0,21.0,0.0
domain_dependent,graphbpe,lstm,delta,visitall-from-everywhere,test-extrapolation,104,domain_specific,3,219,0.0958904109589041,0.0,1.0,0.0,460.56164383561645,0.0
domain_dependent,graphbpe,xgboost,state,blocks,validation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,graphbpe,xgboost,state,blocks,test-interpolation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,99.33333333333333,0.9428090415820634
domain_dependent,graphbpe,xgboost,state,blocks,test-extrapolation,84,domain_specific,3,20,0.0,0.0,1.0,0.0,125.0,0.0
domain_dependent,graphbpe,xgboost,state,gripper,validation,58,domain_specific,3,2,1.0,0.0,1.0,0.0,37.0,0.0
domain_dependent,graphbpe,xgboost,state,gripper,test-interpolation,58,domain_specific,3,3,1.0,0.0,1.0,0.0,19.0,0.0
domain_dependent,graphbpe,xgboost,state,gripper,test-extrapolation,58,domain_specific,3,16,1.0,0.0,1.0,0.0,107.0,0.0
domain_dependent,graphbpe,xgboost,state,logistics,validation,102,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,graphbpe,xgboost,state,logistics,test-interpolation,102,domain_specific,3,9,0.2222222222222222,0.0,1.0,0.0,117.11111111111111,0.0
domain_dependent,graphbpe,xgboost,state,logistics,test-extrapolation,102,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,graphbpe,xgboost,state,visitall-from-everywhere,validation,104,domain_specific,3,24,0.5416666666666666,0.0,1.0,0.0,101.58333333333333,0.0
domain_dependent,graphbpe,xgboost,state,visitall-from-everywhere,test-interpolation,104,domain_specific,3,37,0.7567567567567568,0.0,1.0,0.0,21.0,0.0
domain_dependent,graphbpe,xgboost,state,visitall-from-everywhere,test-extrapolation,104,domain_specific,3,219,0.0958904109589041,0.0,1.0,0.0,460.56164383561645,0.0
domain_dependent,graphbpe,xgboost,delta,blocks,validation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,graphbpe,xgboost,delta,blocks,test-interpolation,84,domain_specific,3,3,0.0,0.0,1.0,0.0,69.77777777777777,7.350149070462771
domain_dependent,graphbpe,xgboost,delta,blocks,test-extrapolation,84,domain_specific,3,20,0.0,0.0,1.0,0.0,123.4,1.8547236990991431
domain_dependent,graphbpe,xgboost,delta,gripper,validation,58,domain_specific,3,2,1.0,0.0,1.0,0.0,37.0,0.0
domain_dependent,graphbpe,xgboost,delta,gripper,test-interpolation,58,domain_specific,3,3,1.0,0.0,1.0,0.0,19.0,0.0
domain_dependent,graphbpe,xgboost,delta,gripper,test-extrapolation,58,domain_specific,3,16,1.0,0.0,1.0,0.0,107.0,0.0
domain_dependent,graphbpe,xgboost,delta,logistics,validation,102,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,graphbpe,xgboost,delta,logistics,test-interpolation,102,domain_specific,3,9,0.2222222222222222,0.0,1.0,0.0,117.11111111111111,0.0
