regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,simhash,lstm,delta,blocks,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\blocks_simhash_test-interpolation_delta_results.json,3,0.0,1.0,36.666666666666664
domain_dependent,13,simhash,lstm,delta,blocks,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\blocks_simhash_test-extrapolation_delta_results.json,20,0.0,1.0,122.7
domain_dependent,13,simhash,lstm,delta,gripper,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\gripper_simhash_validation_delta_results.json,2,0.0,1.0,135.0
domain_dependent,13,simhash,lstm,delta,gripper,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\gripper_simhash_test-interpolation_delta_results.json,3,0.0,1.0,74.0
domain_dependent,13,simhash,lstm,delta,gripper,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\gripper_simhash_test-extrapolation_delta_results.json,16,0.8125,1.0,146.3125
domain_dependent,13,simhash,lstm,delta,logistics,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\logistics_simhash_validation_delta_results.json,4,0.0,1.0,150.0
domain_dependent,13,simhash,lstm,delta,logistics,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\logistics_simhash_test-interpolation_delta_results.json,9,0.1111111111111111,1.0,130.77777777777777
domain_dependent,13,simhash,lstm,delta,logistics,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\logistics_simhash_test-extrapolation_delta_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,simhash,lstm,delta,visitall-from-everywhere,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\visitall-from-everywhere_simhash_validation_delta_results.json,24,0.5,1.0,107.83333333333333
domain_dependent,13,simhash,lstm,delta,visitall-from-everywhere,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\visitall-from-everywhere_simhash_test-interpolation_delta_results.json,37,0.8378378378378378,1.0,25.135135135135137
domain_dependent,13,simhash,lstm,delta,visitall-from-everywhere,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\visitall-from-everywhere_simhash_test-extrapolation_delta_results.json,219,0.1050228310502283,1.0,454.78995433789953
domain_dependent,13,simhash,xgboost,state,blocks,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\blocks_simhash_validation_state_results.json,3,0.0,1.0,100.0
domain_dependent,13,simhash,xgboost,state,blocks,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\blocks_simhash_test-interpolation_state_results.json,3,0.0,1.0,100.0
domain_dependent,13,simhash,xgboost,state,blocks,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\blocks_simhash_test-extrapolation_state_results.json,20,0.0,1.0,125.0
domain_dependent,13,simhash,xgboost,state,gripper,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\gripper_simhash_validation_state_results.json,2,0.0,1.0,135.0
domain_dependent,13,simhash,xgboost,state,gripper,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\gripper_simhash_test-interpolation_state_results.json,3,1.0,1.0,19.0
domain_dependent,13,simhash,xgboost,state,gripper,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\gripper_simhash_test-extrapolation_state_results.json,16,0.4375,1.0,214.8125
domain_dependent,13,simhash,xgboost,state,logistics,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\logistics_simhash_validation_state_results.json,4,0.0,1.0,150.0
domain_dependent,13,simhash,xgboost,state,logistics,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\logistics_simhash_test-interpolation_state_results.json,9,0.3333333333333333,1.0,115.77777777777777
domain_dependent,13,simhash,xgboost,state,logistics,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\logistics_simhash_test-extrapolation_state_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,simhash,xgboost,state,visitall-from-everywhere,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\visitall-from-everywhere_simhash_validation_state_results.json,24,0.625,1.0,35.666666666666664
